moment,data,data_sd,simulation,distance,sq_diff
fnc block 489,0.0134791984050857,1999.6044270103166,0.012621629138625353,-0.0008575692664603476,0.0014705591792702356
msnbc block 325,0.00521460698903681,2806.693227977206,0.004489824099666939,-0.0007247828893698714,0.001474384683998499
cnn block 625,0.00194331084076245,4575.582218600532,0.00137524224401046,-0.00056806859675199,0.0014765492156336025
msnbc block 626,0.00381742476481308,3267.6865561990153,0.004489824099666939,0.0006723993348538588,0.001477389274010337
cnn block 89,0.00194544111072475,4553.66928511225,0.00137524224401046,-0.0005701988667142898,0.0014805196843248561
cnn block 425,0.00220986583265343,4473.370625578657,0.002785563251411843,0.0005756974187584134,0.001482598123373521
cnn block 748,0.00200491151363731,4647.995951648126,0.0025696986543496344,0.0005647871407123244,0.001482638731169929
msnbc block 736,0.00382371518397764,3357.5319411472797,0.004489824099666939,0.0006661089156892986,0.0014897405738070815
cnn block 112,0.00189897946461966,5442.718765721401,0.00137524224401046,-0.0005237372206092,0.0014929414380838364
msnbc block 782,0.00382301115241636,3372.236640027145,0.004489824099666939,0.0006668129472505785,0.0014994296358309376
msnbc block 227,0.00381147530006944,3258.850824168147,0.004489824099666939,0.0006783487995974985,0.0014995833247529139
cnn block 376,0.00194678118290064,4592.738852429083,0.00137524224401046,-0.0005715389388901799,0.0015002491869417552
msnbc block 553,0.00491646558122641,3597.6960499121024,0.005563010117968882,0.0006465445367424723,0.0015039083199270534
msnbc block 291,0.00546432501425066,2724.8207836482134,0.00620896847661589,0.00074464346236523,0.001510896465096587
cnn block 160,0.00193388694113326,5570.715318208962,0.0014121004147453083,-0.0005217865263879517,0.0015166895210774437
cnn block 398,0.0020528896434635,4643.566984475974,0.0026272484309052047,0.0005743587874417048,0.0015318571029758052
msnbc block 756,0.0042243505216647,3205.655315233573,0.00491759865277336,0.00069324813110866,0.0015406154128657394
cnn block 551,0.00205065089310764,5599.191139230084,0.0015260879349978382,-0.0005245629581098019,0.0015407086920942092
cnn block 243,0.00195695457343346,4560.140462852512,0.00137524224401046,-0.0005817123294229998,0.0015431024390815565
msnbc block 797,0.00381229924630129,3364.414846302716,0.004489824099666939,0.0006775248533656486,0.0015444007452027604
cnn block 464,0.00246884954383795,4287.3595401668745,0.003071598279969141,0.0006027487361311909,0.001557623611911371
msnbc block 332,0.00523574931480031,2801.050448577263,0.004489824099666939,-0.0007459252151333718,0.0015585168686392226
cnn block 30,0.00107362927145385,6116.344848967485,0.0015788471352915167,0.0005052178638376666,0.0015611669910830124
cnn block 730,0.00195371564974383,4692.723882735289,0.00137524224401046,-0.0005784734057333698,0.001570333143464346
msnbc block 490,0.00559082190750249,3092.4939234113817,0.004876216708328605,-0.000714605199173885,0.0015792147736231972
msnbc block 411,0.00422769558516907,3237.4685800878897,0.004929400844546519,0.0007017052593774487,0.0015940980316263963
msnbc block 230,0.00379050143834937,3267.8200342590453,0.004489824099666939,0.0006993226613175685,0.0015981345267395398
cnn block 589,0.00196889803485354,4537.351789223005,0.00137524224401046,-0.0005936557908430798,0.0015990861774230584
cnn block 407,0.00155367311827957,5336.3719350364645,0.0021014869752198967,0.0005478138569403267,0.001601445334335317
msnbc block 533,0.0060822111038374,3257.762590820352,0.005379227758928066,-0.0007029833449093345,0.0016099393059365817
msnbc block 597,0.00378836806328019,3274.0417654830308,0.004489824099666939,0.0007014560363867487,0.0016109613797117947
cnn block 552,0.0019653129773372,5719.219039716815,0.0014344157067261469,-0.0005308972706110533,0.0016119728211607947
cnn block 361,0.00196994485652938,4565.710039493821,0.00137524224401046,-0.0005947026125189198,0.001614760136360558
msnbc block 783,0.00379886536285761,3382.8957239495576,0.004489824099666939,0.0006909587368093286,0.001615075526830542
msnbc block 339,0.00537720327388224,2766.390220288361,0.00461182942770152,-0.0007653738461807207,0.0016205434360615318
msnbc block 529,0.00509116680694535,3558.976349546828,0.0057663290562950855,0.0006751622493497353,0.0016223382391096874
msnbc block 432,0.00386998345571571,3383.178173269429,0.0045635181837111,0.0006935347279953901,0.0016272762868947748
msnbc block 617,0.00563249320282762,2687.685230274554,0.004853972865781928,-0.0007785203370456921,0.0016289896640254882
cnn block 178,0.0019178736499631,5581.256552077791,0.00137524224401046,-0.0005426314059526398,0.0016433945327169837
cnn block 626,0.00197809806432547,4535.249249095559,0.00137524224401046,-0.0006028558203150099,0.0016482689461776061
msnbc block 734,0.00378662156497438,3373.8741846601274,0.004489824099666939,0.0007032025346925585,0.0016683598824824674
fnc block 443,0.0177099133037694,1610.127148606358,0.016682713533388883,-0.0010271997703805158,0.001698908542414542
msnbc block 407,0.0040102363327674,3325.644769116193,0.004725422329702492,0.0007151859969350919,0.0017010374025616321
cnn block 193,0.00199071526411476,4495.594542544894,0.00137524224401046,-0.0006154730201043,0.0017029628548516842
msnbc block 198,0.00376686050855478,3271.061716354307,0.004489824099666939,0.0007229635911121589,0.0017097066118544192
msnbc block 544,0.00540391891891892,3454.996602672825,0.004697584111324333,-0.000706334807594587,0.0017237284177933727
msnbc block 488,0.00575564708758863,3048.1448500362076,0.005001617882308828,-0.0007540292052798016,0.0017330533652233126
msnbc block 546,0.00617598569157393,3233.087993038906,0.005441752923646652,-0.0007342327679272787,0.0017429504868414786
msnbc block 753,0.00445104194137923,3123.3121716894743,0.00519944179575305,0.0007483998543738202,0.0017493744622439457
cnn block 270,0.00242363582487592,4092.6505959151787,0.0017674135981770283,-0.0006562222266988918,0.0017624083480140215
poll day 2,0.493778921181866,141.43230403664157,0.4902333333333333,-0.0035455878485327053,0.0017779728175866085
msnbc block 724,0.0037645733581742,3383.702304362655,0.004489824099666939,0.0007252507414927385,0.0017797889665901994
